iter	Passed	Remaining
170	1463	7092
171	1471	7084
172	1479	7074
173	1487	7061
174	1495	7047
175	1502	7035
176	1509	7019
177	1517	7008
178	1525	6994
179	1534	6991
180	1542	6978
181	1551	6973
182	1558	6959
183	1569	6960
184	1578	6954
185	1587	6945
186	1596	6938
187	1604	6930
188	1613	6924
189	1621	6913
190	1631	6911
191	1640	6903
192	1649	6896
193	1657	6885
194	1668	6886
195	1676	6877
196	1684	6866
197	1692	6855
198	1701	6848
199	1708	6834
200	1717	6827
201	1724	6812
202	1733	6805
203	1740	6790
204	1749	6782
205	1756	6768
206	1764	6758
207	1770	6742
208	1779	6734
209	1786	6722
210	1794	6710
211	1801	6697
212	1809	6685
213	1816	6672
214	1823	6657
215	1831	6647
216	1838	6633
217	1846	6623
218	1853	6609
219	1861	6599
220	1879	6623
221	1887	6614
222	1895	6604
223	1902	6589
224	1909	6577
225	1916	6564
226	1924	6552
227	1932	6543
228	1944	6545
229	1951	6532
230	1958	6520
231	1965	6507
232	1972	6493
233	1981	6487
234	1989	6476
235	1997	6466
236	2004	6454
237	2012	6444
238	2019	6429
239	2027	6419
240	2033	6405
241	2041	6395
242	2049	6384
243	2057	6374
244	2064	6362
245	2072	6351
246	2079	6340
247	2086	6326
248	2095	6319
249	2102	6306
250	2110	6297
251	2117	6284
252	2125	6276
253	2140	6286
254	2148	6276
255	2155	6265
256	2163	6253
257	2170	6241
258	2179	6235
259	2186	6223
260	2196	6218
261	2203	6207
262	2211	6198
263	2218	6184
264	2226	6175
265	2239	6181
266	2249	6174
267	2256	6164
268	2263	6152
269	2271	6142
270	2279	6133
271	2287	6123
272	2296	6115
273	2303	6104
274	2312	6095
275	2320	6088
276	2329	6080
277	2338	6072
278	2345	6061
279	2352	6050
280	2360	6039
281	2367	6027
282	2376	6021
283	2383	6009
284	2393	6004
285	2400	5993
286	2408	5983
287	2415	5971
288	2423	5961
289	2430	5950
290	2438	5941
291	2445	5930
292	2453	5921
293	2461	5910
294	2469	5900
295	2477	5891
296	2484	5880
297	2493	5873
298	2501	5864
299	2509	5854
300	2515	5842
301	2524	5835
302	2531	5824
303	2541	5817
304	2549	5808
305	2556	5797
306	2563	5786
307	2571	5778
308	2580	5769
309	2587	5760
310	2595	5749
311	2604	5743
312	2612	5734
313	2621	5726
314	2628	5716
315	2636	5707
316	2643	5695
317	2651	5686
318	2657	5673
319	2666	5665
320	2673	5655
321	2682	5647
322	2689	5637
323	2698	5630
324	2706	5621
325	2715	5614
326	2723	5605
327	2731	5597
328	2739	5586
329	2748	5579
330	2755	5568
331	2763	5561
332	2776	5561
333	2784	5553
334	2792	5543
335	2801	5537
336	2809	5526
337	2817	5519
338	2825	5508
339	2833	5500
340	2840	5488
341	2847	5479
342	2855	5468
343	2864	5461
344	2871	5452
345	2879	5443
346	2887	5433
347	2894	5423
348	2902	5414
349	2910	5406
350	2919	5398
351	2927	5388
352	2935	5380
353	2943	5370
354	2950	5361
355	2957	5350
356	2966	5343
357	2985	5353
358	2993	5344
359	3001	5335
360	3008	5324
361	3017	5317
362	3025	5309
363	3034	5302
364	3043	5295
365	3052	5287
366	3064	5285
367	3072	5277
368	3082	5271
369	3093	5266
370	3101	5258
371	3110	5251
372	3119	5244
373	3128	5236
374	3136	5228
375	3145	5220
376	3153	5211
377	3164	5207
378	3173	5199
379	3182	5192
380	3192	5186
381	3202	5181
382	3212	5175
383	3221	5167
384	3232	5162
385	3241	5156
386	3250	5148
387	3260	5142
388	3269	5135
389	3278	5127
390	3287	5119
391	3296	5113
392	3305	5105
393	3317	5101
394	3326	5095
395	3335	5088
396	3345	5081
397	3353	5072
398	3363	5066
399	3371	5057
400	3381	5051
401	3390	5043
402	3398	5034
403	3408	5027
404	3416	5019
405	3426	5013
406	3435	5005
407	3445	4998
408	3453	4989
409	3463	4983
410	3472	4976
411	3481	4968
